school_dist,managed_by_name,school_count,co_located,total_enrollment,Grade_PreK_5,Grade_6_8,Grade_9_12,pct_asian,pct_black,pct_hispanic,pct_multiple_race_categories_not_represented,pct_white,pct_swd,pct_ell,pct_poverty,co_pct,Level3_4_ELA_proficient,Level3_4_Math_proficient,Pct_4_year_august_graduate,Pct_6_year_graduates
1,Charter,41,4,1581,1129,452,0,0.04575,0.36225,0.55075,0.02325,0.018,0.23175,0.05175,0.8455,0.683,0.555,0.5,0,0
1,DOE,41,23,6521,2538,1561,2422,0.083695652,0.222173913,0.536695652,0.03026087,0.127,0.436304348,0.120130435,0.777913043,0.683,0.254782609,0.234347826,0.161304348,0.169130435
2,Charter,154,4,2378,1952,426,0,0.20125,0.2155,0.345,0.042,0.1965,0.183,0.0585,0.43725,0.812,0.71,0.7425,0,0
2,DOE,154,110,49308,12655,6551,30102,0.119345455,0.234854545,0.429336364,0.038063636,0.178327273,0.406845455,0.116545455,0.671736364,0.812,0.199181818,0.192181818,0.405727273,0.406454545
3,Charter,63,9,7369,4264,1530,1575,0.036444444,0.538222222,0.314777778,0.040222222,0.070444444,0.201,0.052555556,0.681888889,0.73,0.698888889,0.752222222,0.368888889,0.104444444
3,DOE,63,37,12936,5092,3706,4138,0.052540541,0.308108108,0.435567568,0.03927027,0.164513514,0.357459459,0.083459459,0.694081081,0.73,0.321081081,0.299459459,0.277027027,0.298378378
4,Charter,52,15,11975,5353,3020,3602,0.020666667,0.4136,0.497266667,0.039,0.0296,0.2904,0.053933333,0.8392,0.692,0.499333333,0.546,0.182666667,0.176
4,DOE,52,19,7214,3189,1259,2766,0.085263158,0.266947368,0.554473684,0.033947368,0.059473684,0.268157895,0.106684211,0.802157895,0.692,0.326842105,0.282631579,0.143684211,0.143157895
5,Charter,60,21,17831,8348,5019,4464,0.007380952,0.639428571,0.320047619,0.022761905,0.010285714,0.188904762,0.04852381,0.836952381,0.8,0.561904762,0.67952381,0.658095238,0.603809524
5,DOE,60,26,10468,5326,1971,3171,0.026153846,0.429769231,0.4705,0.018115385,0.055192308,0.537038462,0.162038462,0.877769231,0.8,0.177307692,0.175769231,0.123461538,0.148461538
6,Charter,63,4,2682,1890,792,0,0.00325,0.12975,0.81325,0.01825,0.0355,0.22175,0.1,0.856,0.524,0.4425,0.555,0,0
6,DOE,63,28,10588,4846,2794,2948,0.011607143,0.066857143,0.848178571,0.014214286,0.059178571,0.226142857,0.330428571,0.85875,0.524,0.281785714,0.263928571,0.210357143,0.190714286
7,Charter,86,20,9836,5187,1988,2661,0.00705,0.37155,0.59625,0.01495,0.0101,0.1697,0.11155,0.8862,0.756,0.412,0.4355,0.2275,0.2445
7,DOE,86,44,18481,6260,3660,8561,0.013227273,0.288159091,0.669590909,0.012272727,0.016886364,0.426772727,0.179477273,0.919909091,0.756,0.171363636,0.15,0.261590909,0.289090909
