dbn,district,school_dist,school_name,building_id,swd,ell,poverty,location_category_description,grades_text,longitude,latitude,borough_code,counts,opend_year
01M015,1,1,P.S. 015 Roberto Clemente,M015,0.232,0.089,0.816,Elementary,"PK,0K,01,02,03,04,05,SE",-73.978747,40.722075,M,2,1904
01M063,1,1,The STAR Academy - P.S.63,M063,0.301,0.022,0.773,Elementary,"PK,0K,01,02,03,04,05,SE",-73.986214,40.72444,M,2,1905
01M064,1,1,P.S. 064 Robert Simon,M064,0.267,0.017,0.907,Elementary,"PK,0K,01,02,03,04,05,SE",-73.981597,40.72313,M,3,1954
01M142,1,1,P.S. 142 Amalia Castro,M142,0.331,0.067,0.964,Elementary,"PK,0K,01,02,03,04,05,SE",-73.984116,40.718121,M,2,1976
01M188,1,1,P.S. 188 The Island School,M188,0.339,0.098,0.955,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",-73.97738,40.719888,M,1,1904
01M292,1,1,Orchard Collegiate Academy,M056,0.288,0.093,0.832,High school,"09,10,11,12,SE",-73.986051,40.713362,M,3,2004
01M315,1,1,The East Village Community School,M061,0.173,0.009,0.282,Elementary,"PK,0K,01,02,03,04,05,SE",-73.978254,40.727537,M,2,1999
01M332,1,1,University Neighborhood Middle School,M056,0.413,0.05,0.83,Junior High-Intermediate-Middle,"06,07,08,SE",-73.986051,40.713362,M,3,2004
01M361,1,1,The Children's Workshop School,M061,0.247,0.039,0.47,Elementary,"PK,0K,01,02,03,04,05,06,SE",-73.978254,40.727537,M,2,1999
01M363,1,1,Neighborhood School,M063,0.219,0.013,0.408,Elementary,"PK,0K,01,02,03,04,05,SE",-73.986214,40.72444,M,2,1999
01M364,1,1,Earth School,M064,0.279,0.035,0.57,Elementary,"PK,0K,01,02,03,04,05,SE",-73.981597,40.72313,M,3,1999
01M378,1,1,School for Global Leaders,M025,0.407,0.083,0.843,Junior High-Intermediate-Middle,"06,07,08,SE",-73.986038,40.72004,M,3,2008
01M450,1,1,East Side Community School,M060,0.266,0.015,0.654,Secondary School,"06,07,08,09,10,11,12,SE",-73.982472,40.729152,M,2,1996
01M458,1,1,Forsyth Satellite Academy,M510,0.359,0.072,0.873,High school,"09,10,11,12,SE",-73.990468,40.722415,M,2,2010
01M509,1,1,Marta Valle High School,M025,0.258,0.093,0.887,High school,"09,10,11,12,SE",-73.986038,40.72004,M,3,1996
01M515,1,1,Lower East Side Preparatory High School,M025,0.102,0.704,0.748,High school,"09,10,11,12",-73.986038,40.72004,M,3,1996
01M650,1,1,Cascades High School,M510,0.345,0.042,0.893,High school,"09,10,11,12",-73.990468,40.722415,M,2,1998
01M839,1,1,Tompkins Square Middle School,M064,0.274,0.017,0.642,Junior High-Intermediate-Middle,"06,07,08,SE",-73.981597,40.72313,M,3,2001
02M033,2,2,P.S. 033 Chelsea Prep,M033,0.15,0.074,0.469,Elementary,"PK,0K,01,02,03,04,05,06,SE",-74.000238,40.749014,M,1,1951
02M040,2,2,P.S. 040 Augustus Saint-Gaudens,M040,0.141,0.026,0.093,Elementary,"PK,0K,01,02,03,04,05,SE",-73.981536,40.735328,M,2,1899
02M047,2,2,47 The American Sign Language and English Secondary School,M047,0.254,0.047,0.819,High school,"09,10,11,12,SE",-73.981329,40.738374,M,3,1908
02M051,2,2,P.S. 051 Elias Howe,M338,0.195,0.074,0.557,Elementary,"PK,0K,01,02,03,04,05,SE",-73.995825,40.761487,M,1,1905
02M059,2,2,P.S. 059 Beekman Hill International,M488,0.138,0.063,0.083,Elementary,"PK,0K,01,02,03,04,05,SE",-73.967204,40.759248,M,2,1960
02M077,2,2,P.S. 77 Lower Lab School,M198,0.066,0.006,0.108,Elementary,"0K,01,02,03,04,05",-73.95042,40.785018,M,2,1999
02M089,2,2,P.S. 89,M089,0.145,0.075,0.059,Elementary,"PK,0K,01,02,03,04,05,06,SE",-74.013967,40.71701,M,2,1998
02M111,2,2,P.S. 111 Adolph S. Ochs,M111,0.244,0.107,0.543,Elementary,"PK,0K,01,02,03,04,05,SE",-73.989776,40.76588,M,2,1958
02M114,2,2,East Side Middle School,M114,0.166,0.002,0.133,Junior High-Intermediate-Middle,"06,07,08,SE",-73.947379,40.780452,M,1,1999
02M131,2,2,M.S. 131,M131,0.237,0.23,0.885,Junior High-Intermediate-Middle,"06,07,08,SE",-73.993607,40.716231,M,3,1983
02M135,2,2,The Urban Assembly School for Emergency Management,M520,0.215,0.043,0.797,High school,"09,10,11,12,SE",-74.000851,40.711441,M,4,2013
02M139,2,2,Stephen T. Mather Building Arts & Craftsmanship High School,M625,0.257,0.058,0.81,High school,"09,10,11,12,SE",-73.990318,40.763655,M,4,2013
02M158,2,2,P.S. 158 Bayard Taylor,M158,0.149,0.044,0.098,Elementary,"PK,0K,01,02,03,04,05,06,SE",-73.950745,40.770215,M,2,1898
